NOMBRE_LOCALIDAD,FECHA,Ozono
BOSA,2013-01-01,
BOSA,2013-01-02,
BOSA,2013-01-03,
BOSA,2013-01-04,
BOSA,2013-01-05,
BOSA,2013-01-06,
BOSA,2013-01-07,
BOSA,2013-01-08,
BOSA,2013-01-09,
BOSA,2013-01-10,
BOSA,2013-01-11,
BOSA,2013-01-12,
BOSA,2013-01-13,
BOSA,2013-01-14,
BOSA,2013-01-15,
BOSA,2013-01-16,
BOSA,2013-01-17,
BOSA,2013-01-18,
BOSA,2013-01-19,
BOSA,2013-01-20,
BOSA,2013-01-21,
BOSA,2013-01-22,
BOSA,2013-01-23,
BOSA,2013-01-24,
BOSA,2013-01-25,
BOSA,2013-01-26,
BOSA,2013-01-27,
BOSA,2013-01-28,
BOSA,2013-01-29,
BOSA,2013-01-30,
BOSA,2013-01-31,
BOSA,2013-02-01,
BOSA,2013-02-02,
BOSA,2013-02-03,
BOSA,2013-02-04,
BOSA,2013-02-05,
BOSA,2013-02-06,
BOSA,2013-02-07,
BOSA,2013-02-08,
BOSA,2013-02-09,
BOSA,2013-02-10,
BOSA,2013-02-11,
BOSA,2013-02-12,
BOSA,2013-02-13,
BOSA,2013-02-14,
BOSA,2013-02-15,
BOSA,2013-02-16,
BOSA,2013-02-17,
BOSA,2013-02-18,
BOSA,2013-02-19,
BOSA,2013-02-20,
BOSA,2013-02-21,
BOSA,2013-02-22,
BOSA,2013-02-23,
BOSA,2013-02-24,
BOSA,2013-02-25,
BOSA,2013-02-26,
BOSA,2013-02-27,
BOSA,2013-02-28,
BOSA,2013-03-01,
BOSA,2013-03-02,
BOSA,2013-03-03,
BOSA,2013-03-04,
BOSA,2013-03-05,
BOSA,2013-03-06,
BOSA,2013-03-07,
BOSA,2013-03-08,
BOSA,2013-03-09,
BOSA,2013-03-10,
BOSA,2013-03-11,
BOSA,2013-03-12,
BOSA,2013-03-13,
BOSA,2013-03-14,
BOSA,2013-03-15,
BOSA,2013-03-16,
BOSA,2013-03-17,
BOSA,2013-03-18,
BOSA,2013-03-19,
BOSA,2013-03-20,
BOSA,2013-03-21,
BOSA,2013-03-22,
BOSA,2013-03-23,
BOSA,2013-03-24,
BOSA,2013-03-25,
BOSA,2013-03-26,
BOSA,2013-03-27,
BOSA,2013-03-28,
BOSA,2013-03-29,
BOSA,2013-03-30,
BOSA,2013-03-31,
BOSA,2013-04-01,
BOSA,2013-04-02,
BOSA,2013-04-03,
BOSA,2013-04-04,
BOSA,2013-04-05,
BOSA,2013-04-06,
BOSA,2013-04-07,
BOSA,2013-04-08,
BOSA,2013-04-09,
BOSA,2013-04-10,
BOSA,2013-04-11,
BOSA,2013-04-12,
BOSA,2013-04-13,
BOSA,2013-04-14,
BOSA,2013-04-15,
BOSA,2013-04-16,
BOSA,2013-04-17,
BOSA,2013-04-18,
BOSA,2013-04-19,
BOSA,2013-04-20,
BOSA,2013-04-21,
BOSA,2013-04-22,
BOSA,2013-04-23,
BOSA,2013-04-24,
BOSA,2013-04-25,
BOSA,2013-04-26,
