NOMBRE_LOCALIDAD,FECHA,Ozono
BOSA,2013-01-31,
BOSA,2013-02-28,
BOSA,2013-03-31,
BOSA,2013-04-30,
BOSA,2013-05-31,
BOSA,2013-06-30,
BOSA,2013-07-31,
BOSA,2013-08-31,
BOSA,2013-09-30,
BOSA,2013-10-31,
BOSA,2013-11-30,
BOSA,2013-12-31,
BOSA,2014-01-31,
BOSA,2014-02-28,
BOSA,2014-03-31,
BOSA,2014-04-30,
BOSA,2014-05-31,
BOSA,2014-06-30,
BOSA,2014-07-31,
BOSA,2014-08-31,
BOSA,2014-09-30,
BOSA,2014-10-31,
BOSA,2014-11-30,
BOSA,2014-12-31,
BOSA,2015-01-31,
BOSA,2015-02-28,
BOSA,2015-03-31,
BOSA,2015-04-30,
BOSA,2015-05-31,
BOSA,2015-06-30,
BOSA,2015-07-31,
BOSA,2015-08-31,
BOSA,2015-09-30,
BOSA,2015-10-31,
BOSA,2015-11-30,
BOSA,2015-12-31,
BOSA,2016-01-31,
BOSA,2016-02-29,
BOSA,2016-03-31,
BOSA,2016-04-30,
BOSA,2016-05-31,
BOSA,2016-06-30,
BOSA,2016-07-31,
BOSA,2016-08-31,
BOSA,2016-09-30,
BOSA,2016-10-31,
BOSA,2016-11-30,
BOSA,2016-12-31,
BOSA,2017-01-31,
BOSA,2017-02-28,
BOSA,2017-03-31,
BOSA,2017-04-30,
BOSA,2017-05-31,
BOSA,2017-06-30,
BOSA,2017-07-31,
BOSA,2017-08-31,
BOSA,2017-09-30,
BOSA,2017-10-31,
BOSA,2017-11-30,
BOSA,2017-12-31,
BOSA,2018-01-31,
BOSA,2018-02-28,
BOSA,2018-03-31,
BOSA,2018-04-30,
BOSA,2018-05-31,
BOSA,2018-06-30,
BOSA,2018-07-31,
BOSA,2018-08-31,
BOSA,2018-09-30,
BOSA,2018-10-31,
BOSA,2018-11-30,
BOSA,2018-12-31,
BOSA,2019-01-31,
BOSA,2019-02-28,
BOSA,2019-03-31,
BOSA,2019-04-30,
BOSA,2019-05-31,
BOSA,2019-06-30,
BOSA,2019-07-31,
BOSA,2019-08-31,
BOSA,2019-09-30,
BOSA,2019-10-31,
BOSA,2019-11-30,
BOSA,2019-12-31,
BOSA,2020-01-31,
BOSA,2020-02-29,
BOSA,2020-03-31,
BOSA,2020-04-30,
BOSA,2020-05-31,
BOSA,2020-06-30,
BOSA,2020-07-31,
BOSA,2020-08-31,
BOSA,2020-09-30,
BOSA,2020-10-31,
BOSA,2020-11-30,
BOSA,2020-12-31,
BOSA,2021-01-31,
BOSA,2021-02-28,
BOSA,2021-03-31,
BOSA,2021-04-30,
BOSA,2021-05-31,
BOSA,2021-06-30,
BOSA,2021-07-31,
BOSA,2021-08-31,3.613468778392152
BOSA,2021-09-30,2.816120406877914
BOSA,2021-10-31,4.179401037034587
BOSA,2021-11-30,6.001930858908466
BOSA,2021-12-31,7.58501904460972
BOSA,2022-01-31,8.807345267197382
BOSA,2022-02-28,8.748861066645558
BOSA,2022-03-31,6.785855615068663
BOSA,2022-04-30,6.016575132806907
BOSA,2022-05-31,4.402967389871045
BOSA,2022-06-30,3.2956947889846164
BOSA,2022-07-31,4.001965865281536
BOSA,2022-08-31,4.142854374146546
BOSA,2022-09-30,5.976747485398838
BOSA,2022-10-31,4.0473992650168125
BOSA,2022-11-30,6.037858512870891
BOSA,2022-12-31,8.257972670261525
CHAPINERO,2013-01-31,13.70070926212981
CHAPINERO,2013-02-28,12.735107612562478
CHAPINERO,2013-03-31,12.427120170307104
CHAPINERO,2013-04-30,12.46068569010076
CHAPINERO,2013-05-31,4.898369021729808
CHAPINERO,2013-06-30,7.9101383723525
